Total E proteins found: 934
Complete E proteins (480-510 aa): 851

ALL E PROTEINS:
AFQ95477.1: 495 aa
AFQ95476.1: 495 aa
AFQ95472.1: 495 aa
AFQ95471.1: 495 aa
AFQ95470.1: 495 aa
AFQ95469.1: 495 aa
AFQ95463.1: 495 aa
AFQ95461.1: 495 aa
AFQ95456.1: 495 aa
AFQ95445.1: 495 aa
AFQ95442.1: 495 aa
AFQ95439.1: 495 aa
AFQ95432.1: 495 aa
AFQ95430.1: 495 aa
AFQ95429.1: 495 aa
ARO78341.1: 495 aa
ARO78340.1: 495 aa
ARO78337.1: 495 aa
ARO78336.1: 495 aa
ARO78333.1: 495 aa
ARO78326.1: 495 aa
ARO78324.1: 495 aa
ARO78323.1: 495 aa
ARO78321.1: 495 aa
ARO78320.1: 495 aa
ARO78319.1: 495 aa
ARO78318.1: 495 aa
ARO78316.1: 495 aa
ARO78315.1: 495 aa
ARO78314.1: 495 aa
ARO78311.1: 495 aa
ARO78310.1: 495 aa
ABV58592.1: 495 aa
ANN30178.1: 482 aa
ANN30177.1: 495 aa
ANN30175.1: 495 aa
ANN30174.1: 495 aa
AXM44171.1: 495 aa
AXM44170.1: 495 aa
AXM44169.1: 495 aa
AXM44168.1: 495 aa
AWJ97093.1: 495 aa
AWJ97092.1: 495 aa
AWJ97091.1: 495 aa
AWJ97090.1: 495 aa
AWJ97089.1: 495 aa
AWJ97088.1: 495 aa
AWJ97086.1: 495 aa
AWJ97084.1: 495 aa
AWJ97083.1: 495 aa
AWJ97082.1: 495 aa
AWJ97081.1: 495 aa
AWJ97080.1: 495 aa
AWJ97079.1: 495 aa
AWJ97078.1: 495 aa
AWJ97077.1: 495 aa
AWJ97076.1: 495 aa
AWJ97075.1: 495 aa
AWJ97074.1: 495 aa
AWJ97072.1: 495 aa
AWJ97071.1: 495 aa
ARO34424.1: 495 aa
ANC57643.1: 495 aa
AFN87871.1: 495 aa
AFN87870.1: 495 aa
AFN87797.1: 495 aa
AFN87796.1: 495 aa
AFN87795.1: 495 aa
AFN87794.1: 495 aa
AFN87793.1: 495 aa
AFN87791.1: 495 aa
AFN87790.1: 495 aa
AFN87789.1: 495 aa
AFN87788.1: 495 aa
AFN87786.1: 495 aa
AFN87784.1: 495 aa
AFN87782.1: 495 aa
AFN87781.1: 495 aa
AFN87778.1: 495 aa
AFN87774.1: 495 aa
AFN87772.1: 495 aa
AFN87771.1: 495 aa
AFN87770.1: 495 aa
AFN87768.1: 495 aa
AFN87767.1: 495 aa
AFN87766.1: 495 aa
AFN87765.1: 495 aa
AFN87763.1: 495 aa
AFN87761.1: 495 aa
AFN87758.1: 495 aa
AFN87757.1: 495 aa
AFN87754.1: 495 aa
AFN87753.1: 495 aa
AFN87752.1: 495 aa
AFN87749.1: 495 aa
AFN87748.1: 495 aa
AFN87742.1: 495 aa
AFN87740.1: 495 aa
AFN87739.1: 495 aa
AFN87738.1: 495 aa
AFN87736.1: 495 aa
AFN87734.1: 495 aa
pdb|7V3H|C: 495 aa
pdb|7BUF|C: 495 aa
BCG29765.1: 495 aa
BCG29763.1: 495 aa
BCG29762.1: 495 aa
BCG29761.1: 495 aa
BCG29760.1: 495 aa
BCG29759.1: 495 aa
BCG29755.1: 495 aa
BCG29752.1: 495 aa
BCG29750.1: 495 aa
pdb|9DOG|B004: 495 aa
pdb|8Y3I|E: 495 aa
pdb|4CBF|C: 495 aa
pdb|3ZKO|C: 495 aa
pdb|7KV8|C: 495 aa
AZK05708.1: 495 aa
QCT81070.1: 495 aa
QCT81069.1: 495 aa
QCT81068.1: 495 aa
QCT81057.1: 495 aa
QBY34591.1: 495 aa
QBY34590.1: 495 aa
QBY34585.1: 495 aa
QBM19388.1: 495 aa
QBM19386.1: 495 aa
ASV49460.1: 495 aa
ASV49452.1: 495 aa
ASV49451.1: 495 aa
ASV49446.1: 495 aa
AYP74442.1: 487 aa
AYP74431.1: 495 aa
AYP74428.1: 495 aa
AYP74427.1: 495 aa
AYP74424.1: 495 aa
AYP74423.1: 495 aa
AYP74422.1: 495 aa
AYP74419.1: 495 aa
AYP74406.1: 495 aa
AYP74404.1: 495 aa
AYP74397.1: 495 aa
AYP74377.1: 495 aa
AYP74374.1: 495 aa
AYP74372.1: 495 aa
BAU51613.1: 495 aa
ABF65933.1: 495 aa
ABF65932.1: 495 aa
ABF65931.1: 495 aa
ABF65930.1: 495 aa
ABF65925.1: 495 aa
ABF65924.1: 495 aa
ABF65923.1: 495 aa
ABF65922.1: 495 aa
ABF65921.1: 495 aa
ABF65920.1: 495 aa
ABF65919.1: 495 aa
ABF65916.1: 495 aa
ABF65915.1: 495 aa
ABF65914.1: 495 aa
ABF65913.1: 495 aa
ABF65912.1: 495 aa
ABF65911.1: 495 aa
ACC68732.1: 495 aa
ACC68731.1: 495 aa
ACC68730.1: 495 aa
ACC68726.1: 495 aa
ACC68725.1: 495 aa
ACC68724.1: 495 aa
ACC68723.1: 495 aa
ACC68722.1: 495 aa
ACC68721.1: 495 aa
ACC68720.1: 495 aa
ACC68718.1: 495 aa
ABX25809.1: 495 aa
ABX25803.1: 495 aa
ABX25802.1: 495 aa
ABX25794.1: 495 aa
