Total E proteins found: 567
Complete E proteins (480-510 aa): 493

ALL E PROTEINS:
ARO78301.1: 493 aa
ARO78299.1: 493 aa
ARO78297.1: 493 aa
ASX95588.1: 493 aa
ANN30204.1: 460 aa
ANN30203.1: 493 aa
ANN30202.1: 493 aa
ANN30201.1: 459 aa
ANN30200.1: 493 aa
ANN30199.1: 493 aa
ANN30198.1: 457 aa
ANN30197.1: 493 aa
ANN30196.1: 467 aa
ANN30194.1: 493 aa
ANN30193.1: 463 aa
ANN30192.1: 485 aa
ANN30191.1: 493 aa
ANN30190.1: 493 aa
ANN30189.1: 488 aa
ANN30187.1: 493 aa
ANN30186.1: 493 aa
ANN30184.1: 493 aa
ANN30183.1: 493 aa
AXM44178.1: 493 aa
AXM44177.1: 493 aa
AXM44176.1: 493 aa
AXM44175.1: 493 aa
AXM44174.1: 493 aa
AXM44173.1: 493 aa
AXM44172.1: 493 aa
AXA98683.1: 493 aa
AXA98682.1: 493 aa
AXA98681.1: 493 aa
AXA98680.1: 493 aa
AXA98679.1: 493 aa
AXC44054.1: 534 aa
AXC44053.1: 542 aa
AXC44051.1: 544 aa
AXC44050.1: 549 aa
AXC44049.1: 532 aa
AXC44046.1: 546 aa
AXC44045.1: 544 aa
AXC44044.1: 543 aa
AXC44042.1: 529 aa
AXC44041.1: 549 aa
AXC44038.1: 541 aa
AXC44034.1: 546 aa
AXC44032.1: 542 aa
AXC44031.1: 544 aa
AXC44030.1: 543 aa
AXC44021.1: 536 aa
AXC44018.1: 533 aa
AXC44015.1: 534 aa
AXC44014.1: 542 aa
AXC44009.1: 543 aa
AXC44008.1: 547 aa
AXC44006.1: 535 aa
AXC44005.1: 544 aa
AXC44002.1: 542 aa
AXC43995.1: 545 aa
AXC43991.1: 543 aa
AOQ25594.1: 493 aa
AOQ25593.1: 493 aa
AOQ25592.1: 493 aa
AOQ25591.1: 493 aa
AOQ25590.1: 493 aa
AOQ25587.1: 493 aa
AOQ25583.1: 493 aa
AOQ25580.1: 493 aa
AOQ25575.1: 493 aa
AOQ25572.1: 493 aa
AOQ25570.1: 493 aa
AOQ25569.1: 493 aa
AOQ25567.1: 493 aa
AOQ25562.1: 493 aa
AOQ25560.1: 493 aa
AOQ25554.1: 493 aa
AOQ25553.1: 493 aa
AOQ25552.1: 493 aa
AOQ25551.1: 493 aa
AOQ25550.1: 493 aa
AOQ25549.1: 493 aa
AOQ25548.1: 493 aa
AOQ25545.1: 493 aa
AOQ25542.1: 493 aa
AOQ25541.1: 493 aa
AOQ25538.1: 493 aa
AOQ25535.1: 493 aa
AOQ25534.1: 493 aa
AOQ25533.1: 493 aa
QCT81075.1: 493 aa
QCT81072.1: 493 aa
QCT81071.1: 493 aa
BBD74788.1: 493 aa
BBD74787.1: 493 aa
BBD74786.1: 493 aa
BBD74784.1: 493 aa
AJD80673.1: 493 aa
AJD80666.1: 493 aa
QBY34612.1: 493 aa
QBY34611.1: 493 aa
QBY34610.1: 493 aa
QBY34608.1: 493 aa
QBY34606.1: 493 aa
QBY34605.1: 493 aa
QBY34604.1: 493 aa
QBY34602.1: 493 aa
QBY34598.1: 493 aa
QBY34597.1: 493 aa
QBY34596.1: 493 aa
QBY34595.1: 493 aa
ASV49467.1: 493 aa
ASV49464.1: 493 aa
ASV49462.1: 493 aa
AYP74639.1: 493 aa
AYP74638.1: 493 aa
AYP74636.1: 493 aa
AYP74635.1: 493 aa
AYP74633.1: 493 aa
AYP74632.1: 493 aa
AYP74629.1: 493 aa
AYP74628.1: 493 aa
AYP74627.1: 493 aa
AYP74622.1: 493 aa
AYP74620.1: 493 aa
AYP74618.1: 493 aa
AYP74614.1: 493 aa
AYP74611.1: 493 aa
ABF65958.1: 493 aa
ABF65957.1: 493 aa
ABF65956.1: 493 aa
ABF65955.1: 493 aa
ABF65954.1: 493 aa
ABF65953.1: 493 aa
ABF65952.1: 493 aa
ABF65951.1: 493 aa
ABF65950.1: 493 aa
ABF65948.1: 493 aa
ABF65946.1: 493 aa
ABF65945.1: 493 aa
ABF65942.1: 493 aa
