Total E proteins found: 376
Complete E proteins (480-510 aa): 366

ALL E PROTEINS:
NP_740317.1: 495 aa
ARO78309.1: 495 aa
ARO78308.1: 495 aa
ARO78307.1: 495 aa
ARO78306.1: 495 aa
ARO78303.1: 495 aa
ASX95592.1: 495 aa
ASX95590.1: 495 aa
ASX95589.1: 495 aa
QAA78731.1: 478 aa
QAA78730.1: 478 aa
ANN30219.1: 495 aa
ANN30218.1: 482 aa
ANN30217.1: 475 aa
ANN30216.1: 472 aa
ANN30215.1: 461 aa
ANN30214.1: 467 aa
ANN30213.1: 486 aa
ANN30212.1: 495 aa
ANN30211.1: 493 aa
ANN30210.1: 495 aa
ANN30209.1: 495 aa
ANN30208.1: 461 aa
ANN30207.1: 483 aa
ANN30206.1: 468 aa
ANN30205.1: 483 aa
BAP82402.1: 495 aa
AHJ10505.1: 495 aa
AHJ10504.1: 495 aa
AHJ10503.1: 495 aa
AHJ10501.1: 495 aa
AHJ10499.1: 495 aa
AHJ10498.1: 495 aa
AFW15992.1: 495 aa
AFW15991.1: 495 aa
AFW15990.1: 495 aa
AFW15989.1: 495 aa
AFW15987.1: 495 aa
AFW15986.1: 495 aa
AXM44167.1: 495 aa
AXM44165.1: 495 aa
AWJ97099.1: 495 aa
AWJ97097.1: 495 aa
BCG29767.1: 495 aa
BCG29766.1: 495 aa
AYP74652.1: 495 aa
AYP74651.1: 495 aa
AYP74650.1: 495 aa
AYP74649.1: 495 aa
AYP74646.1: 495 aa
AYP74645.1: 495 aa
AYP74643.1: 495 aa
AYP74642.1: 495 aa
AYP74641.1: 495 aa
AYP74640.1: 494 aa
ACC68765.1: 495 aa
ACC68764.1: 495 aa
ACC68763.1: 495 aa
ACC68762.1: 495 aa
ACC68761.1: 495 aa
ACC68759.1: 495 aa
ACC68758.1: 495 aa
ACC68755.1: 495 aa
ACC68754.1: 495 aa
ACC68753.1: 495 aa
ACC68751.1: 495 aa
ACC68750.1: 495 aa
ACC68749.1: 495 aa
QCC72983.1: 495 aa
QCC72978.1: 495 aa
QBF29233.1: 495 aa
AZS59375.1: 495 aa
AXR86416.1: 495 aa
AXR86407.1: 495 aa
AXL67886.1: 495 aa
AXL67885.1: 495 aa
AXL67883.1: 495 aa
AXL67880.1: 495 aa
AXL67877.1: 495 aa
AXL67876.1: 495 aa
AXL67873.1: 495 aa
AXL67870.1: 495 aa
AXL67869.1: 495 aa
AXL67865.1: 495 aa
AXL67862.1: 495 aa
AXL67859.1: 495 aa
AXL67855.1: 495 aa
AXL67841.1: 495 aa
AXL67840.1: 495 aa
AXL67838.1: 495 aa
AXL67836.1: 495 aa
AXL67835.1: 495 aa
AXL67834.1: 495 aa
AXL67833.1: 495 aa
AXL67831.1: 495 aa
AXL67829.1: 495 aa
AXL67828.1: 495 aa
AXL67827.1: 495 aa
AXL67826.1: 495 aa
AXL67823.1: 495 aa
AXL67820.1: 495 aa
AXL67817.1: 495 aa
AXL67813.1: 495 aa
AXL67810.1: 495 aa
AXL67802.1: 495 aa
AXL67800.1: 495 aa
AXL67799.1: 495 aa
AXL67794.1: 495 aa
AQY14844.1: 495 aa
AQY14843.1: 495 aa
AQY14841.1: 495 aa
ATP66580.1: 495 aa
ASV49433.1: 495 aa
ASV49431.1: 495 aa
AOQ25531.1: 495 aa
AOQ25530.1: 495 aa
AOQ25529.1: 495 aa
AOQ25527.1: 495 aa
AOQ25526.1: 495 aa
AOQ25521.1: 495 aa
AOQ25515.1: 495 aa
AOQ25513.1: 495 aa
ATO93932.1: 495 aa
ATO93929.1: 495 aa
ATO93928.1: 495 aa
ATO93927.1: 495 aa
ATO93926.1: 495 aa
ATO93925.1: 495 aa
ATO93924.1: 495 aa
AKU61439.1: 495 aa
